Year,USA ,China,Japan,Germany,Russia,UK
1930,1742210016,37922400,86180944,461733616,,441094304
1931,1483080944,40260032,77918624,385595696,,412236640
1932,1256400256,38600240,77995568,347317888,,395917184
1933,1347183184,42216608,91361840,364853792,,392172576
1934,1434390048,49273472,101221664,408645920,,423224976
1935,1490262384,57627392,106406224,452368432,,429131344
1936,1710695952,65039664,116874272,499681664,,453823040
1937,1789563552,60576912,125455360,563563504,,468160272
1938,1513418864,55304416,131757440,601335680,,448971904
1939,1667863792,67157456,127767344,648681888,,452456368
1940,1871490592,86100336,153261456,654368416,,475143856
1941,2039213856,107615344,154628128,660839040,,469680832
1942,2193896944,113869792,147809424,667928880,,468929712
1943,2267184272,97304848,150652688,679466816,,454848960
1944,2440377888,97865440,138744688,600273120,,442043280
1945,2355340112,50350688,76639888,116064528,,417641040
1946,2253033904,31275904,52710304,271696592,,436155232
1947,2480762496,33587888,70037360,317672464,,461297600
1948,2577052416,23852640,88089888,377842672,,475598192
1949,2159990288,59309168,98433360,432187120,,485146576
1950,2535942336,78647760,102559024,510732288,,500440112
1951,2612369712,101723632,123484128,576918784,,544836800
1952,2545080352,128221680,130434736,611041616,,528425744
1953,2605745200,134102400,145805216,623565168,,540088256
1954,2483052496,161256304,142577232,659809456,,552710736
1955,2721721792,190890736,141917712,723585040,,576643984
1956,2852903984,216348208,160688384,766281632,,574009568
1957,2828611664,256348096,188128080,777999104,,570396864
1958,2740924816,525380960,181221440,756473104,,555935056
1959,2823004702,720152146.7,192619987.1,755905184,854787568.4,546606132
1960,2887820432,778979465.8,232499640.8,814067520,889982973,584020017.6
1961,2877369848,550958537.3,282786899.7,834970640,917825759.3,588614801.4
1962,2984001744,439342105.3,292864430.2,883306128,963317909.8,592931498.6
1963,3116022372,435517603.7,324835463.1,945638096,1033106290,603385663.2
1964,3252755199,435703730.3,358891092.2,969073040,1098722364,607865989.4
1965,3388192678,474680624.9,386471179.1,960264784,1165558338,622111621.4
1966,3559179160,521458912.9,419245118.4,951588432,1230917490,618074666
1967,3693298171,432223556.9,489307428.3,936382832,1287125543,592057027
1968,3828306054,467805643,561912554.1,984956480,1323305250,606488304.6
1969,4021502617,575944671.2,653215419.5,1052176224,1378150152,628382547
1970,4325500825,770167190.3,767963109.7,1026209456,1449570620,652577395.1
1971,4351308657,874016350.7,796544396.7,1037655792,1538242126,660388283.8
1972,4558452642,928893957.8,852170481,1042155184,1618414877,648026448.4
1973,4762452212,965646598.3,914265673.7,1086617824,1686754299,659577321.9
1974,4592958261,985085216,914306790.6,1063728816,1750971645,617183889.6
1975,4400795008,1142101906,868511411,1003602576,1840500779,603247367.3
1976,4607168187,1190964535,907145368.9,1092271376,1911326084,598526349.6
1977,4735366318,1304402788,933238704.2,1054202416,1976296765,604362139.4
1978,4882964043,1455257506,901591433.3,1081015568,2044124917,604713988.3
1979,4894042875,1487113084,953072922,1120051824,2061009554,644513312
1980,4716716355,1458886738,944870323.7,1102314400,2142090695,579035974.7
1981,4530369843,1442782298,926837367.6,1050831536,2101221296,560555006.5
1982,4301970691,1570468325,897409726.2,1018119344,2140779052,548240956.1
1983,4335916563,1655810483,880911503.7,1014206192,2171089109,545485794.2
1984,4468262025,1802317096,937072088.8,1035915392,2190289061,529108886.3
1985,4484338153,1951773228,912402996.2,1046746176,2362132078,559628081.2
1986,4487855840,2052242012,912262211.1,1050358880,2368149967,568554785.6
1987,4680834052,2191053006,902532780.2,1035431744,2467724484,571668517.3
1988,4885590503,2347763494,985467063.7,1032266048,2535287597,570294855.4
1989,4948021163,2386884998,1021684766,1016349632,2481717228,581577310.6
1990,5121264461,2420302108,1155263415,1012901808,2571210651,601067551.5
